Std No,Section,D1,D2
1913012,19101,50.00,53.00
1913013,19101,52.00,51.00
1913021,19101,51.00,48.00
1913023,19101,53.00,53.00
1913024,19101,50.00,52.00
1913521,19101,30.00,0.00
1895173,19101,48.00,50.00
1895169,19101,48.00,53.00
1913040,19101,50.00,53.00
1913041,19101,40.00,48.00
1913046,19101,50.00,56.00
1913044,19101,45.00,48.00
1913084,19101,56.00,58.00
1913048,19101,48.00,56.00
1913052,19101,56.00,58.00
1913054,19101,51.00,55.00
1913060,19101,51.00,56.00
1913097,19101,52.00,56.00
1913502,19101,48.00,53.00
1895119,19101,56.00,60.00
1913069,19101,48.00,53.00
1913093,19101,50.00,56.00
1913463,19101,35.00,43.00
1913083,19101,58.00,62.00
1913067,19101,40.00,48.00
1913088,19101,52.00,58.00
1913503,19101,53.00,56.00
1913544,19101,36.00,46.00
1913091,19101,50.00,57.00
1913061,19101,58.00,61.00
1913431,19101,30.00,0.00
1824345,19101,15.00,35.00
1913479,19101,40.00,45.00
